"","1","2","3","4","5","6","7"
"不想",0.0492914978742983,0,0,0,0.00866836893073191,0,0
"不愛我",0.0510428167646837,0,0,0,0,0,0
"不是",0.0222253167515718,0,0.00430419866667763,0,0,0.00688671786668422,0
"不要",0.0154453990463259,0.0012166085893991,0.00683699756577805,0,0.00116409311072,0.00546959805262244,0
"不讓",0.0164304992914328,0,0,0,0.00866836893073191,0,0
"之前",0.0382821125735128,0,0,0,0,0,0
"了",0.0030326239273152,0.0016721234686951,0.00391535953057127,0.00339530414254119,0.000533315159080211,0.00563811772402263,0
"人要",0.0328609985828655,0,0.00636392578189297,0,0,0,0
"他",0.0164304992914328,0,0,0,0,0.0101822812510288,0
"作曲",0,0,0,0,0,0,0
"作詞",0,0,0,0,0,0,0
"你",0,0,0,0,0,0,0
"冒",0.0382821125735128,0,0,0,0,0,0
"剛好",0.0638035209558546,0,0,0,0,0,0
"加速",0.0382821125735128,0,0,0,0,0,0
"又",0.0328609985828655,0,0,0.013796602458455,0,0,0
"反正",0.0328609985828655,0,0,0,0,0.0101822812510288,0
"可以",0.0110093853007855,0.00202344591994387,0,0,0.00193610293059377,0,0.00414028165157746
"周杰倫",0,0,0,0,0,0,0
"哥練",0.0510428167646837,0,0,0,0,0,0
"在",0,0,0,0,0,0,0
"外套",0.0382821125735128,0,0,0,0,0,0
"套牢",0.0382821125735128,0,0,0,0,0,0
"好",0.0222253167515718,0,0,0.00466561992876507,0,0.00688671786668422,0
"好膽",0.0382821125735128,0,0,0,0,0,0
"如果",0.0328609985828655,0,0.00636392578189297,0,0,0,0
"安全帽",0.0382821125735128,0,0,0,0,0,0
"宋健彰",0.0127607041911709,0,0,0,0,0,0
"寒",0.0382821125735128,0,0,0,0,0,0
"就",0.0403677461028802,0,0.014213995106648,0,0.00580830879178132,0,0.00414028165157746
"幸福",0.0277816459394647,0,0,0,0.00879419008155718,0,0.00626867908377666
"彈頭",0.0127607041911709,0,0,0,0,0,0
"愛情",0.0110093853007855,0.00404689183988774,0,0,0,0.00454847843412735,0.00828056330315491
"愛的",0.0246457489371491,0,0,0.0068983012292275,0,0,0
"愛的險",0.0382821125735128,0,0,0,0,0,0
"懷抱",0.0255214083823419,0,0,0,0,0,0
"我",0,0,0,0,0,0,0
"我好",0.0255214083823419,0,0,0,0,0,0
"我給",0.0127607041911709,0,0,0,0,0,0
"戴好",0.0382821125735128,0,0,0,0,0,0
"手放",0.0382821125735128,0,0,0,0,0,0
"把",0.0333379751273577,0,0.00430419866667763,0,0.00293139669385239,0,0
"抱抱",0.0382821125735128,0,0,0,0,0,0
"拉倒",0.0510428167646837,0,0,0,0,0,0
"沒有",0.0222253167515718,0,0.00860839733335527,0,0,0.00688671786668422,0
"流來",0.0382821125735128,0,0,0,0,0,0
"狂飆",0.0382821125735128,0,0,0,0,0,0
"的",0,0,0,0,0,0,0
"真比",0.0255214083823419,0,0,0,0,0,0
"算了",0.0127607041911709,0,0,0,0,0,0
"胸肌",0.0510428167646837,0,0,0,0,0,0
"被",0.0110093853007855,0.00404689183988774,0.00284279902132959,0,0,0,0.00828056330315491
"說",0.0030326239273152,0.0016721234686951,0.000783071906114254,0,0.000533315159080211,0.00563811772402263,0.00228094791114306
"跌倒",0.0246457489371491,0,0.00636392578189297,0,0,0,0
"路上",0.0246457489371491,0,0.00636392578189297,0,0,0,0
"還想",0.0510428167646837,0,0,0,0,0,0
"離開",0.0246457489371491,0.00452971158410427,0,0,0,0,0
"靠",0.0222253167515718,0,0.00430419866667763,0,0.00293139669385239,0,0
"麥造",0.0382821125735128,0,0,0,0,0,0
"一個",0,0.00612728030745087,0.00430419866667763,0,0,0.00688671786668422,0
"一樣",0,0.00905942316820854,0,0.0068983012292275,0,0,0
"一篇",0,0.00703597724826467,0,0,0,0,0
"一般",0,0.00703597724826467,0,0,0,0,0
"一起",0,0.00607033775983161,0,0.00308150733609773,0.00387220586118755,0.00454847843412735,0
"中等",0,0.00703597724826467,0,0,0,0,0
"之中",0,0.00703597724826467,0,0,0,0,0
"任何",0,0.021107931744794,0,0,0,0,0
"修改",0,0.00703597724826467,0,0,0,0,0
"傻傻",0,0.0140719544965293,0,0,0,0,0
"像",0,0.00306364015372543,0.00430419866667763,0,0,0,0.0125373581675533
"公園",0,0.021107931744794,0,0,0,0,0
"再",0,0.00306364015372543,0,0,0.00293139669385239,0.00688671786668422,0
"再見",0,0.021107931744794,0,0,0,0,0
"初戀",0,0.021107931744794,0,0,0,0,0
"別離",0,0.00703597724826467,0,0,0,0,0
"前",0,0.0140719544965293,0,0,0,0,0
"勳",0,0.00306364015372543,0,0,0,0.00344335893334211,0.00626867908377666
"午後",0,0.00905942316820854,0.00636392578189297,0,0,0,0
"卡片",0,0.021107931744794,0,0,0,0,0
"去",0,0.0351798862413234,0,0,0,0,0
"吉他",0,0.00905942316820854,0.00636392578189297,0,0,0,0
"和弦",0,0.042215863489588,0,0,0,0,0
"咖啡館",0,0.00703597724826467,0,0,0,0,0
"哭",0,0.00452971158410427,0.0190917773456789,0,0,0,0
"唱",0,0.00612728030745087,0,0.0139968597862952,0.00879419008155718,0,0
"回來",0,0.00703597724826467,0,0,0,0,0
"回去",0,0.00703597724826467,0,0,0,0,0
"回憶",0,0.00905942316820854,0,0,0,0,0.00926848677978259
"地",0,0.00703597724826467,0,0,0,0,0
"地方",0,0.021107931744794,0,0,0,0,0
"夕陽",0,0.00703597724826467,0,0,0,0,0
"多年",0,0.0140719544965293,0,0,0,0,0
"夜空",0,0.00703597724826467,0,0,0,0,0
"太",0,0.00452971158410427,0.00636392578189297,0,0,0,0
"如詩",0,0.00703597724826467,0,0,0,0,0
"安靜",0,0.00452971158410427,0,0,0,0,0.00926848677978259
"封信",0,0.00703597724826467,0,0,0,0,0
"將",0,0.0140719544965293,0,0,0,0,0
"屬於",0,0.021107931744794,0,0,0,0,0
"已",0,0.021107931744794,0,0,0,0,0
"年輕",0,0.00452971158410427,0,0,0,0,0.00926848677978259
"廣場",0,0.0135891347523128,0,0.0068983012292275,0,0,0
"形容",0,0.00703597724826467,0,0,0,0,0
"彩虹",0,0.00703597724826467,0,0,0,0,0
"很",0,0.00306364015372543,0,0,0,0.00688671786668422,0.0250747163351066
"從前",0,0.0181188463364171,0,0,0,0.0101822812510288,0
"微甜",0,0.021107931744794,0,0,0,0,0
"微風",0,0.00703597724826467,0,0,0,0,0
"徹底",0,0.00703597724826467,0,0,0,0,0
"心事",0,0.00452971158410427,0,0,0,0,0.0185369735595652
"心動",0,0.00703597724826467,0,0,0,0,0
"心裡面",0,0.0135891347523128,0,0,0.00866836893073191,0,0
"怎麼",0,0.00452971158410427,0,0,0.00433418446536596,0,0
"思念",0,0.00703597724826467,0,0,0,0,0
"情人節",0,0.021107931744794,0,0,0,0,0
"情緒",0,0.00452971158410427,0,0,0,0,0.00926848677978259
"想",0,0.00111474897913007,0.000783071906114254,0.000848826035635298,0.00213326063632084,0.000626457524891403,0.00228094791114306
"想要",0,0.00703597724826467,0,0,0,0,0
"愛上你",0,0.00703597724826467,0,0,0,0,0
"懷念",0,0.00703597724826467,0,0,0,0,0
"戀情",0,0.021107931744794,0,0,0,0,0
"成",0,0.00703597724826467,0,0,0,0,0
"我們",0,0.00905942316820854,0.00636392578189297,0,0,0,0
"我將",0,0.021107931744794,0,0,0,0,0
"或許",0,0.021107931744794,0,0,0,0,0
"手寫",0,0.0492518407378527,0,0,0,0,0
"接近",0,0.00703597724826467,0,0,0,0,0
"揹",0,0.0140719544965293,0,0,0,0,0
"擁有",0,0.00452971158410427,0.0127278515637859,0,0,0,0
"整遍",0,0.021107931744794,0,0,0,0,0
"文章",0,0.00703597724826467,0,0,0,0,0
"斜",0,0.0140719544965293,0,0,0,0,0
"方文山",0,0.00452971158410427,0,0,0,0,0.00926848677978259
"旁",0,0.0135891347523128,0,0.0068983012292275,0,0,0
"旅行",0,0.00703597724826467,0,0,0,0,0
"春暖花開",0,0.00703597724826467,0,0,0,0,0
"是",0,0.00608304294699551,0.00512774817433354,0.00185277414950474,0.00698455866432002,0,0.00248936834446278
"是否",0,0.00452971158410427,0,0,0.00433418446536596,0,0
"月光",0,0.00703597724826467,0,0,0,0,0
"未來",0,0.00452971158410427,0,0,0.0130025533960979,0,0
"染",0,0.00703597724826467,0,0,0,0,0
"校園",0,0.021107931744794,0,0,0,0,0
"楓紅",0,0.00703597724826467,0,0,0,0,0
"永遠",0,0.0135891347523128,0.0190917773456789,0,0,0,0
"決定",0,0.00703597724826467,0,0,0,0,0
"沙灘",0,0.00703597724826467,0,0,0,0,0
"浮萍",0,0.00703597724826467,0,0,0,0,0
"消息",0,0.00703597724826467,0,0,0,0,0
"淚光",0,0.00703597724826467,0,0,0,0,0
"深埋在",0,0.021107931744794,0,0,0,0,0
"溪流",0,0.00703597724826467,0,0,0,0,0
"為",0,0.00202344591994387,0.00568559804265918,0,0.0077444117223751,0.00454847843412735,0
"片片",0,0.00703597724826467,0,0,0,0,0
"瓶裝",0,0.00703597724826467,0,0,0,0,0
"用",0,0.00703597724826467,0,0,0,0,0
"當",0,0.021107931744794,0,0,0,0,0
"痛",0,0.00703597724826467,0,0,0,0,0
"白",0,0.00703597724826467,0,0,0,0,0
